"","site_name","site_code","otter_region","latitude_N","longitude_E","layer_number","layer_thickness_cm","layer_volume_cm3","na.rm","dry_bulk_density","organic_dw_g","inorganic_dw_g","layer_depth_cm","organic_dw_percent","inorganic_dw_percent","organic_density","inorganic_density"
"87","Kaguk Cove a","H_04_a","High",55.73361,-133.29,12,1.4,27.4889357189107,TRUE,1.198539308211,1.14938,1.77088,22,3.65524819007367,5.84637163654035,1.37757711007157,2.1224692901247
"88","Kaguk Cove a","H_04_a","High",55.73361,-133.29,13,1.2,23.5619449019235,TRUE,1.25949959239474,0.93655,NA,24,3.33862589280749,NA,1.1795843432573,NA
"89","Kaguk Cove a","H_04_a","High",55.73361,-133.29,14,1.2,23.5619449019235,TRUE,1.25532718640665,0.964860000000002,NA,26,3.4245094876226,NA,1.21121498907632,NA
"90","Kaguk Cove a","H_04_a","High",55.73361,-133.29,15,1.3,25.5254403104171,TRUE,1.26312492979179,1.06753,NA,28,3.49056168834459,NA,1.34842375630062,NA
"91","Kaguk Cove a","H_04_a","High",55.73361,-133.29,16,1.3,25.5254403104171,TRUE,1.21395907859635,0.934290000000001,NA,30,3.17870263451027,NA,1.13418982754178,NA
"92","Kaguk Cove a","H_04_a","High",55.73361,-133.29,17,1.2,23.5619449019235,TRUE,0.928200965201928,0.849729999999997,0.318992200000004,32,4.1961353658958,1.70978849763602,0.788720206161032,0.29608886793189
"93","Kaguk Cove a","H_04_a","High",55.73361,-133.29,18,1.2,23.5619449019235,TRUE,0.847127437190917,0.85201,NA,34,4.58649121928715,NA,0.721761047761033,NA
"94","Kaguk Cove a","H_04_a","High",55.73361,-133.29,19,1.4,27.4889357189107,TRUE,0.327025392758866,0.293519999999999,NA,36,3.92411663257529,NA,0.0959884932825822,NA
"95","Kaguk Cove a","H_04_a","High",55.73361,-133.29,20,1.2,23.5619449019235,TRUE,0.787318282816527,0.395849999999999,NA,38,2.3242746219861,NA,0.311659942252922,NA
"96","Kaguk Cove a","H_04_a","High",55.73361,-133.29,21,1.4,27.4889357189107,TRUE,1.09931538670707,0.875830000000001,NA,40,3.04060235053632,NA,0.962813395139651,NA
"97","Kaguk Cove a","H_04_a","High",55.73361,-133.29,22,1.4,27.4889357189107,TRUE,1.03026324080335,0.853960000000001,3.00136000000001,42,3.17491004619822,11.527394345533,0.879803597116433,3.09219088041756
"98","Kaguk Cove a","H_04_a","High",55.73361,-133.29,23,1.4,27.4889357189107,TRUE,1.38214881756454,1.01735,NA,44,2.77741907919146,NA,1.40612909954928,NA
"99","Kaguk Cove a","H_04_a","High",55.73361,-133.29,24,1.4,27.4889357189107,TRUE,1.08323036964706,0.768620000000002,NA,46,2.72992521847536,NA,0.832592526718129,NA
"100","Kaguk Cove a","H_04_a","High",55.73361,-133.29,25,1.3,25.5254403104171,TRUE,1.27495352104538,0.984490000000001,NA,48,3.17589508245798,NA,1.25517899193397,NA
"101","Kaguk Cove a","H_04_a","High",55.73361,-133.29,26,1.2,23.5619449019235,TRUE,1.1951436996061,0.836799999999997,NA,50,3.16279154149802,NA,1.00009624783038,NA
"102","Kaguk Cove a","H_04_a","High",55.73361,-133.29,27,1.3,25.5254403104171,TRUE,1.27564498805968,2.49198,1.70215,52,7.98586631321768,5.93168568739285,3.17888179734496,2.17133911642578
"103","Kaguk Cove a","H_04_a","High",55.73361,-133.29,28,1.2,23.5619449019235,TRUE,1.14901295766081,1.26697,NA,54,4.92649165995593,NA,1.45576494696751,NA
"104","Kaguk Cove a","H_04_a","High",55.73361,-133.29,29,1.4,27.4889357189107,TRUE,1.21300076296011,0.100810000000003,NA,56,0.315044442486038,NA,0.122282606914012,NA
"105","Kaguk Cove a","H_04_a","High",55.73361,-133.29,30,1.2,23.5619449019235,TRUE,1.23478304193916,1.1132,NA,58,4.05879195883746,NA,1.37456048228668,NA
"106","Kaguk Cove a","H_04_a","High",55.73361,-133.29,31,1.4,27.4889357189107,TRUE,1.08742296557651,1.35866,NA,60,4.8132563114074,NA,1.47743808641019,NA
"107","Kaguk Cove a","H_04_a","High",55.73361,-133.29,32,1.4,27.4889357189107,TRUE,1.29403336541432,1.7552,1.94973999999999,62,5.17075998859322,6.06361424050877,2.27128736297522,2.52302861388292
