"","site_name","bay_ID","sample_date","quadrat_location_m","quadrat_no","primary_sediment","secondary_sediment","common_name","scientific_name","species_code","size_mm","samplers","notes"
"105","Shinaku","SHIN_A",20210722,2,1,3,7,"steamer clam","Protothaca staminea","CLAMST",24.7,"Emma, Ginny",""
"106","Shinaku","SHIN_A",20210722,2,1,3,7,"steamer clam","Protothaca staminea","CLAMST",32,"Emma, Ginny",""
"107","Shinaku","SHIN_A",20210722,2,1,3,7,"bentnose macoma","Macoma nasuta","CLAMMB",40.5,"Emma, Ginny",""
"108","Shinaku","SHIN_A",20210722,2,1,3,7,"bentnose macoma","Macoma nasuta","CLAMMB",35.2,"Emma, Ginny",""
"109","Shinaku","SHIN_A",20210722,16,2,3,7,NA,NA,NA,NA,"Emma, Ginny","no clams"
"110","Shinaku","SHIN_A",20210722,27,3,3,7,"butter clam","Saxidomus gigantea","CLAMBU",39.5,"Emma, Ginny","estimate"
"111","Shinaku","SHIN_A",20210722,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",30.8,"Emma, Ginny",""
"112","Shinaku","SHIN_A",20210722,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",28,"Emma, Ginny",""
"113","Shinaku","SHIN_A",20210722,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",33.4,"Emma, Ginny",""
"114","Shinaku","SHIN_A",20210722,27,3,3,7,"bentnose macoma","Macoma nasuta","CLAMMB",50.1,"Emma, Ginny",""
"115","Shinaku","SHIN_A",20210722,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",45,"Emma, Ginny",""
"116","Shinaku","SHIN_A",20210722,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",34.7,"Emma, Ginny",""
"117","Shinaku","SHIN_A",20210722,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",30,"Emma, Ginny",""
"118","Shinaku","SHIN_A",20210722,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",36.4,"Emma, Ginny",""
"119","Shinaku","SHIN_A",20210722,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",23.3,"Emma, Ginny",""
"120","Shinaku","SHIN_A",20210722,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",36,"Emma, Ginny",""
"121","Shinaku","SHIN_A",20210722,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",23.2,"Emma, Ginny",""
"122","Shinaku","SHIN_A",20210722,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",14.1,"Emma, Ginny",""
"123","Shinaku","SHIN_A",20210722,50,5,3,7,"steamer clam","Protothaca staminea","CLAMST",27.5,"Emma, Ginny",""
"124","Shinaku","SHIN_A",20210722,50,5,3,7,"steamer clam","Protothaca staminea","CLAMST",28.4,"Emma, Ginny",""
"125","Shinaku","SHIN_A",20210722,60,6,5,6,"butter clam","Saxidomus gigantea","CLAMBU",49.2,"Emma, Ginny",""
"126","Shinaku","SHIN_A",20210722,60,6,5,6,"steamer clam","Protothaca staminea","CLAMST",38.2,"Emma, Ginny",""
"127","Shinaku","SHIN_A",20210722,60,6,5,6,"steamer clam","Protothaca staminea","CLAMST",34,"Emma, Ginny",""
"128","Shinaku","SHIN_A",20210722,60,6,5,6,"steamer clam","Protothaca staminea","CLAMST",33.6,"Emma, Ginny",""
"129","Shinaku","SHIN_A",20210722,60,6,5,6,"bentnose macoma","Macoma nasuta","CLAMMB",49.2,"Emma, Ginny",""
"130","Shinaku","SHIN_A",20210722,67,7,5,6,"pointed macoma","Macoma inquinata","CLMPOI",44.9,"Emma, Ginny",""
"131","Shinaku","SHIN_A",20210722,76,8,5,6,"cockle","Clinocardium nutallii","CLAMCK",39.1,"Emma, Ginny",""
"132","Shinaku","SHIN_A",20210722,76,8,5,6,"bentnose macoma","Macoma nasuta","CLAMMB",8.4,"Emma, Ginny",""
"133","Shinaku","SHIN_A",20210722,80,9,5,6,"butter clam","Saxidomus gigantea","CLAMBU",57.5,"Emma, Ginny",""
"134","Shinaku","SHIN_A",20210722,80,9,5,6,"steamer clam","Protothaca staminea","CLAMST",18.6,"Emma, Ginny",""
"135","Shinaku","SHIN_A",20210722,80,9,5,6,"steamer clam","Protothaca staminea","CLAMST",42.9,"Emma, Ginny",""
"136","Shinaku","SHIN_A",20210722,96,10,5,6,"steamer clam","Protothaca staminea","CLAMST",39.1,"Emma, Ginny",""
"137","Shinaku","SHIN_A",20210722,96,10,5,6,"bentnose macoma","Macoma nasuta","CLAMMB",31.1,"Emma, Ginny",""
"138","Shinaku","SHIN_A",20210722,96,10,5,6,"bentnose macoma","Macoma nasuta","CLAMMB",32,"Emma, Ginny",""
"139","North Fish Egg Island","NFEI_A",20210721,2,1,3,3,"bentnose macoma","Macoma nasuta","CLAMMB",58.7,"Ginny, Jessica, Emma",""
"140","North Fish Egg Island","NFEI_A",20210721,2,1,3,3,"pointed macoma","Macoma inquinata","CLMPOI",21.8,"Ginny, Jessica, Emma",""
"141","North Fish Egg Island","NFEI_A",20210721,16,2,3,3,"butter clam","Saxidomus gigantea","CLAMBU",59.1,"Ginny, Jessica, Emma",""
"142","North Fish Egg Island","NFEI_A",20210721,16,2,3,3,"bentnose macoma","Macoma nasuta","CLAMMB",24.4,"Ginny, Jessica, Emma",""
"143","North Fish Egg Island","NFEI_A",20210721,16,2,3,3,"pointed macoma","Macoma inquinata","CLMPOI",48.7,"Ginny, Jessica, Emma",""
"144","North Fish Egg Island","NFEI_A",20210721,27,3,3,3,"cockle","Clinocardium nutallii","CLAMCK",80,"Ginny, Jessica, Emma",""
"145","North Fish Egg Island","NFEI_A",20210721,27,3,3,3,"bentnose macoma","Macoma nasuta","CLAMMB",39.4,"Ginny, Jessica, Emma",""
"146","North Fish Egg Island","NFEI_A",20210721,27,3,3,3,"bentnose macoma","Macoma nasuta","CLAMMB",46.9,"Ginny, Jessica, Emma",""
"147","North Fish Egg Island","NFEI_A",20210721,27,3,3,3,"bentnose macoma","Macoma nasuta","CLAMMB",18.7,"Ginny, Jessica, Emma",""
"148","North Fish Egg Island","NFEI_A",20210721,27,3,3,3,"bentnose macoma","Macoma nasuta","CLAMMB",20.7,"Ginny, Jessica, Emma",""
"149","North Fish Egg Island","NFEI_A",20210721,34,4,3,3,"cockle","Clinocardium nutallii","CLAMCK",35.9,"Ginny, Jessica, Emma",""
"150","North Fish Egg Island","NFEI_A",20210721,34,4,3,3,"bentnose macoma","Macoma nasuta","CLAMMB",22.1,"Ginny, Jessica, Emma",""
"151","North Fish Egg Island","NFEI_A",20210721,34,4,3,3,"bentnose macoma","Macoma nasuta","CLAMMB",26.1,"Ginny, Jessica, Emma",""
"152","North Fish Egg Island","NFEI_A",20210721,34,4,3,3,"bentnose macoma","Macoma nasuta","CLAMMB",39.6,"Ginny, Jessica, Emma",""
"153","North Fish Egg Island","NFEI_A",20210721,50,5,3,3,"steamer clam","Protothaca staminea","CLAMST",53.7,"Ginny, Jessica, Emma",""
"154","North Fish Egg Island","NFEI_A",20210721,50,5,3,3,"steamer clam","Protothaca staminea","CLAMST",59.9,"Ginny, Jessica, Emma",""
"155","North Fish Egg Island","NFEI_A",20210721,50,5,3,3,"steamer clam","Protothaca staminea","CLAMST",53,"Ginny, Jessica, Emma","estimate"
"156","North Fish Egg Island","NFEI_A",20210721,50,5,3,3,"bentnose macoma","Macoma nasuta","CLAMMB",48.2,"Ginny, Jessica, Emma",""
"157","North Fish Egg Island","NFEI_A",20210721,50,5,3,3,"bentnose macoma","Macoma nasuta","CLAMMB",19.4,"Ginny, Jessica, Emma",""
"158","North Fish Egg Island","NFEI_A",20210721,50,5,3,3,"bentnose macoma","Macoma nasuta","CLAMMB",29.1,"Ginny, Jessica, Emma",""
"159","North Fish Egg Island","NFEI_A",20210721,50,5,3,3,"bentnose macoma","Macoma nasuta","CLAMMB",32.8,"Ginny, Jessica, Emma",""
"160","North Fish Egg Island","NFEI_A",20210721,50,5,3,3,"bentnose macoma","Macoma nasuta","CLAMMB",18.4,"Ginny, Jessica, Emma",""
"161","North Fish Egg Island","NFEI_A",20210721,50,5,3,3,"bentnose macoma","Macoma nasuta","CLAMMB",22.4,"Ginny, Jessica, Emma",""
"162","North Fish Egg Island","NFEI_A",20210721,60,6,3,3,"steamer clam","Protothaca staminea","CLAMST",30.5,"Ginny, Jessica, Emma",""
"163","North Fish Egg Island","NFEI_A",20210721,60,6,3,3,"cockle","Clinocardium nutallii","CLAMCK",86.1,"Ginny, Jessica, Emma",""
