"","site","YYYYMMDD","trans_type","trans_bin","trans_m","pit_bin","sed1_type","sed2_type","sed1_no","sed2_no","sedno_avg","field_collector","date","place_name","bay_code","bay_sample","latitude","longitude"
"12","2017_H_04",20170707,"Inside",2,20,0,"Sandy mud","Sandy mud",2,2,2,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"13","2017_H_04",20170707,"Inside",3,30,1,"Mud","Mud",1,1,1,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"14","2017_H_04",20170707,"Inside",4,40,1,"Mud","Mud",1,1,1,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"15","2017_H_04",20170707,"Inside",5,50,0,"Mud","Mud",1,1,1,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"16","2017_H_04",20170707,"Inside",6,60,0,"Mud","Mud",1,1,1,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"17","2017_H_04",20170707,"Inside",7,70,0,"Mud","Mud",1,1,1,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"18","2017_H_04",20170707,"Inside",8,80,0,"Mud","Mud",1,1,1,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"19","2017_H_04",20170707,"Inside",9,90,0,"Mud","Mud",1,1,1,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"20","2017_H_04",20170707,"Inside",10,100,0,"Mud","Mud",1,1,1,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"21","2017_H_04",20170707,"Outside",1,10,0,"Mud","Sandy mud",1,2,1.5,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"22","2017_H_04",20170707,"Outside",2,20,0,"Mud","Sandy mud",1,2,1.5,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"23","2017_H_04",20170707,"Outside",3,30,8,"Sand","Sand",4,4,4,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"24","2017_H_04",20170707,"Outside",4,40,9,"Sand","Pebble",4,6,5,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"25","2017_H_04",20170707,"Outside",5,50,3,"Sand","Pebble",4,6,5,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"26","2017_H_04",20170707,"Outside",6,60,1,"Sand","Cobble",4,8,6,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"27","2017_H_04",20170707,"Outside",7,70,0,"Sand","Cobble",4,8,6,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"28","2017_H_04",20170707,"Outside",8,80,1,"Muddy Sand","Cobble",3,8,5.5,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"29","2017_H_04",20170707,"Outside",9,90,0,"Muddy Sand","Cobble",3,8,5.5,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"30","2017_H_04",20170707,"Outside",10,100,0,"Muddy Sand","Sand",3,4,3.5,"Tiff Stephens",2017-07-07,"Kaguk Cove","KAGK","A",55.73361,-133.29
"31","2017_H_05",20170725,"Edge",1,10,0,"Sandy mud","Gravel",2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"32","2017_H_05",20170725,"Edge",2,20,0,"Sandy mud","Gravel",2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"33","2017_H_05",20170725,"Edge",3,30,0,"Sandy mud","Gravel",2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"34","2017_H_05",20170725,"Edge",4,40,0,"Sandy mud","Gravel",2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
